age_years,rr_predicted,vehicle_type,powertrain
1,0.7707631095077859,car,bev
1.5,0.7335899744904203,car,bev
2,0.698209662650466,car,bev
2.5,0.6645357079165531,car,bev
3,0.6324858143895807,car,bev
3.5,0.6019816552194734,car,bev
4,0.5729486811819106,car,bev
4.5,0.5453159384872089,car,bev
5,0.5190158953761008,car,bev
1,0.7959460442859494,cuv,bev
1.5,0.7596407006902818,cuv,bev
2,0.7249913461947068,cuv,bev
2.5,0.6919224464665885,cuv,bev
3,0.6603619125072041,cuv,bev
3.5,0.6302409435003486,cuv,bev
4,0.6014938768290584,cuv,bev
4.5,0.5740580449334935,cuv,bev
5,0.5478736386979368,cuv,bev
1,0.5654284586378711,minivan,bev
1.5,0.5486025274998686,minivan,bev
2,0.5322772997741826,minivan,bev
2.5,0.516437875607423,minivan,bev
3,0.5010697985336937,minivan,bev
3.5,0.4861590422803367,minivan,bev
4,0.4716919979663095,minivan,bev
4.5,0.45765546168151144,minivan,bev
5,0.44403662243572173,minivan,bev
1,0.8616585926327279,pickup,bev
1.5,0.8423218042070817,pickup,bev
2,0.8234189595612749,pickup,bev
2.5,0.8049403204078569,pickup,bev
3,0.7868763669997662,pickup,bev
3.5,0.769217793225987,pickup,bev
4,0.7519555018172673,pickup,bev
4.5,0.7350805996594253,pickup,bev
5,0.7185843932118328,pickup,bev
1,0.7960545792252403,car,cv
1.5,0.7697836175251154,car,cv
2,0.7443796358621146,car,cv
2.5,0.7198140226310232,car,cv
3,0.6960591104513121,car,cv
3.5,0.6730881450063468,car,cv
4,0.6508752549109473,car,cv
4.5,0.6293954225733629,car,cv
5,0.6086244560188445,car,cv
1,0.8769569778435079,cuv,cv
1.5,0.8412755019081677,cuv,cv
2,0.8070458277796335,cuv,cv
2.5,0.7742088847936182,cuv,cv
3,0.7427080057429475,cuv,cv
3.5,0.7124888290861076,cuv,cv
4,0.6834992051347132,cuv,cv
4.5,0.6556891060580052,cuv,cv
5,0.6290105395490694,cuv,cv
1,0.768266978125791,minivan,cv
1.5,0.7424412531845695,minivan,cv
2,0.7174836744577886,minivan,cv
2.5,0.6933650587240145,minivan,cv
3,0.6700572037721538,minivan,cv
3.5,0.6475328554242409,minivan,cv
4,0.6257656756667738,minivan,cv
4.5,0.6047302118533314,minivan,cv
5,0.5844018669424642,minivan,cv
1,0.852344923865743,pickup,cv
1.5,0.8335131383117452,pickup,cv
2,0.8150974239247385,pickup,cv
2.5,0.7970885879908667,pickup,cv
3,0.7794776409009215,pickup,cv
3.5,0.7622557916629311,pickup,cv
4,0.7454144435138922,pickup,cv
4.5,0.7289451896284578,pickup,cv
5,0.7128398089224378,pickup,cv
1,0.8361806305552004,suv,cv
1.5,0.8077985748221543,suv,cv
2,0.7803798768352677,suv,cv
2.5,0.7538918378303698,suv,cv
3,0.7283028689208855,suv,cv
3.5,0.7035824534258206,suv,cv
4,0.6797011104764318,suv,cv
4.5,0.6566303598581754,suv,cv
5,0.6343426880460089,suv,cv
1,0.7829712898228482,car,hev
1.5,0.7549327065254813,car,hev
2,0.7278981985544283,car,hev
2.5,0.7018318094831388,car,hev
3,0.6766988705022126,car,hev
3.5,0.652465954309202,car,hev
4,0.6291008306496438,car,hev
4.5,0.6065724234501874,car,hev
5,0.5848507694868065,car,hev
1,0.9431143206481292,cuv,hev
1.5,0.915451824422743,cuv,hev
2,0.8886006971699896,cuv,hev
2.5,0.8625371406178551,cuv,hev
3,0.837238054521697,cuv,hev
3.5,0.8126810161903949,cuv,hev
4,0.7888442606130217,cuv,hev
4.5,0.7657066611684188,cuv,hev
5,0.7432477109005784,cuv,hev
1,0.992750621888449,pickup,hev
1.5,0.9574815248156443,pickup,hev
2,0.9234654203684848,pickup,hev
2.5,0.8906577939250997,pickup,hev
3,0.859015712318704,pickup,hev
3.5,0.828497767653808,pickup,hev
4,0.7990640231184483,pickup,hev
4.5,0.7706759607215283,pickup,hev
5,0.7432964308868758,pickup,hev
1,1.0674406756683135,suv,hev
1.5,0.9892624402317103,suv,hev
2,0.9168098967565403,suv,hev
2.5,0.8496637015692846,suv,hev
3,0.7874352232872188,suv,hev
3.5,0.7297642934824499,suv,hev
4,0.6763171220849594,suv,hev
4.5,0.6267843654593414,suv,hev
5,0.5808793359735731,suv,hev
1,0.7255137588663289,car,phev
1.5,0.6977098254080284,car,phev
2,0.6709714247618991,car,phev
2.5,0.6452577224116476,car,phev
3,0.6205294487460707,car,phev
3.5,0.5967488390870466,car,phev
4,0.5738795760158396,car,phev
4.5,0.5518867339096407,car,phev
5,0.5307367256036376,car,phev
1,0.7249705390738775,cuv,phev
1.5,0.7120436849049606,cuv,phev
2,0.6993473277696444,cuv,phev
2.5,0.6868773577056904,cuv,phev
3,0.6746297380350549,cuv,phev
3.5,0.662600504057169,cuv,phev
4,0.650785761765517,cuv,phev
4.5,0.6391816865871006,cuv,phev
5,0.6277845221443786,cuv,phev
1,0.9475498596381577,minivan,hev
1.5,0.8942356203849565,minivan,hev
2,0.8439211262936964,minivan,hev
2.5,0.7964375956062087,minivan,hev
3,0.7516257431316503,minivan,hev
3.5,0.7093352459186715,minivan,hev
4,0.6694242389917349,minivan,hev
4.5,0.6317588394600138,minivan,hev
5,0.5962126974024781,minivan,hev
1,0.9213560564764718,suv,bev
1.5,0.9076107493198547,suv,bev
2,0.8940705023758466,suv,bev
2.5,0.880732256441018,suv,bev
3,0.8675929979508543,suv,bev
3.5,0.8546497582988889,suv,bev
4,0.8418996131659938,suv,bev
4.5,0.8293396818596768,suv,bev
5,0.8169671266632336,suv,bev
